127.0.0.1 - - [05/Oct/2020:14:41:16 +1100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:41:18 +1100] "GET /BookPortal/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:41:29 +1100] "GET /BookPortal/BookListServlet?action=list HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:41:34 +1100] "GET /BookPortal/BookListServlet?action=edit&id=0 HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:41:43 +1100] "GET /BookPortal/BookListServlet?action=list HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:44:37 +1100] "GET /LoginModule1489715/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:44:45 +1100] "GET /LoginModule1489715/selectEmpID.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:44:50 +1100] "GET /LoginModule1489715/Verify.jsp?empid=1 HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:44:52 +1100] "GET /LoginModule1489715/selectEmpID.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:44:56 +1100] "GET /LoginModule1489715/Verify.jsp?empid=101 HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:45:03 +1100] "GET /LoginModule1489715/selectEmpID.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:46:01 +1100] "GET /LoginModule1489715/Employee.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:50:50 +1100] "GET /BookPortal/bookdetail.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:50:52 +1100] "GET /BookPortal/BookListServlet?action=list HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:50:53 +1100] "GET /BookPortal/BookListServlet?action=edit&id=0 HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [05/Oct/2020:14:52:21 +1100] "GET /BookPortal/bookdetail.jsp HTTP/1.1" 200 1955
