127.0.0.1 - - [08/Sep/2020:13:51:24 +1000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Sep/2020:13:51:26 +1000] "GET /LoginModule1489715/selectEmpID.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:02:07 +1000] "GET /LoginModule1489715/selectEmpID.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:02:40 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:02:46 +1000] "GET /BookCatalogApplication/Validate.jsp?uname=Admin&psw=pass1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:02:48 +1000] "GET /BookCatalogApplication/Index.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:10:40 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:10:47 +1000] "GET /BookCatalogApplication/Validate.jsp?uname=MrCoco&psw=pass1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:10:47 +1000] "GET /BookCatalogApplication/Index.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:10:49 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:10:54 +1000] "GET /BookCatalogApplication/Validate.jsp?uname=Admin&psw=pass1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2020:14:10:54 +1000] "GET /BookCatalogApplication/Index.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:33:54 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:34:16 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:34:50 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:35:46 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:41:40 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:41:46 +1000] "GET /BookCatalogApplication/Validate.jsp?uname=Admin&psw=pass1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:41:46 +1000] "GET /BookCatalogApplication/Index.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:41:49 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:41:54 +1000] "GET /BookCatalogApplication/Validate.jsp?uname=Admin&psw=aflkal HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:47:55 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:48:00 +1000] "GET /BookCatalogApplication/Validate.jsp?uname=awdaw&psw=pass1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:48:00 +1000] "GET /BookCatalogApplication/Index.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [08/Sep/2020:15:48:03 +1000] "GET /BookCatalogApplication/Login.jsp HTTP/1.1" 200 530
